id,volt,status,createddate
1,0,0,2022-03-14 15:57:02
2,0.032,0,2022-03-14 15:57:03
3,0.039,0,2022-03-14 15:57:04
4,0.039,0,2022-03-14 15:57:05
5,0.032,0,2022-03-14 15:57:06
6,0.042,0,2022-03-14 15:57:07
7,0.032,0,2022-03-14 15:57:08
8,0.039,0,2022-03-14 15:57:09
9,0.029,0,2022-03-14 15:57:10
10,0.032,0,2022-03-14 15:57:11
11,0.032,0,2022-03-14 15:57:12
12,0.032,0,2022-03-14 15:57:13
13,0.032,0,2022-03-14 15:57:14
14,0.032,0,2022-03-14 15:57:15
15,0.026,0,2022-03-14 15:57:16
16,0.029,0,2022-03-14 15:57:17
17,0.026,0,2022-03-14 15:57:18
18,0.032,0,2022-03-14 15:57:19
19,0.029,0,2022-03-14 15:57:20
20,0.029,0,2022-03-14 15:57:21
21,0.026,0,2022-03-14 15:57:22
22,0.026,0,2022-03-14 15:57:23
23,0.023,0,2022-03-14 15:57:24
24,0.026,0,2022-03-14 15:57:25
25,0.023,0,2022-03-14 15:57:26
26,0.026,0,2022-03-14 15:57:27
27,0.026,0,2022-03-14 15:57:28
28,0.023,0,2022-03-14 15:57:29
29,0.023,0,2022-03-14 15:57:30
30,0.023,0,2022-03-14 15:57:31
31,0.026,0,2022-03-14 15:57:32
32,0.023,0,2022-03-14 15:57:33
33,0.023,0,2022-03-14 15:57:34
34,0.023,0,2022-03-14 15:57:35
35,0.023,0,2022-03-14 15:57:36
36,0.026,0,2022-03-14 15:57:37
37,0.019,0,2022-03-14 15:57:38
38,0.026,0,2022-03-14 15:57:39
39,0.023,0,2022-03-14 15:57:40
40,0.023,0,2022-03-14 15:57:41
41,0.023,0,2022-03-14 15:57:42
42,0.026,0,2022-03-14 15:57:43
43,0.026,0,2022-03-14 15:57:44
44,0.016,0,2022-03-14 15:57:45
45,0.023,0,2022-03-14 15:57:46
46,0.019,0,2022-03-14 15:57:47
47,0.023,0,2022-03-14 15:57:48
48,0.019,0,2022-03-14 15:57:49
49,0.019,0,2022-03-14 15:57:50
50,0.019,0,2022-03-14 15:57:52
51,0.016,0,2022-03-14 15:57:52
52,0.019,0,2022-03-14 15:57:54
53,0.019,0,2022-03-14 15:57:55
54,0.019,0,2022-03-14 15:57:56
55,0.016,0,2022-03-14 15:57:57
56,0.013,0,2022-03-14 15:57:58
57,0.019,0,2022-03-14 15:57:59
58,0.019,0,2022-03-14 15:58:00
59,0.023,0,2022-03-14 15:58:01
60,0.019,0,2022-03-14 15:58:02
61,0.026,0,2022-03-14 15:58:03
62,0.026,0,2022-03-14 15:58:04
63,0.016,0,2022-03-14 15:58:05
64,0.016,0,2022-03-14 15:58:06
65,0.023,0,2022-03-14 15:58:07
66,0.019,0,2022-03-14 15:58:08
67,0.016,0,2022-03-14 15:58:09
68,0.019,0,2022-03-14 15:58:10
69,0.019,0,2022-03-14 15:58:11
70,0.019,0,2022-03-14 15:58:12
71,0.016,0,2022-03-14 15:58:13
72,0.019,0,2022-03-14 15:58:14
73,0.016,0,2022-03-14 15:58:15
74,0.013,0,2022-03-14 15:58:16
75,0.016,0,2022-03-14 15:58:17
76,0.016,0,2022-03-14 15:58:19
77,0.016,0,2022-03-14 15:58:19
78,0.013,0,2022-03-14 15:58:20
79,0.019,0,2022-03-14 15:58:21
80,0.023,0,2022-03-14 15:58:22
81,0.016,0,2022-03-14 15:58:23
82,0.016,0,2022-03-14 15:58:24
83,0.016,0,2022-03-14 15:58:25
84,0.023,0,2022-03-14 15:58:26
85,0.019,0,2022-03-14 15:58:27
86,0.016,0,2022-03-14 15:58:28
87,0.016,0,2022-03-14 15:58:29
88,0.019,0,2022-03-14 15:58:30
89,0.019,0,2022-03-14 15:58:31
90,0.016,0,2022-03-14 15:58:32
91,0.016,0,2022-03-14 15:58:33
92,0.019,0,2022-03-14 15:58:34
93,0.016,0,2022-03-14 15:58:35
94,0.016,0,2022-03-14 15:58:36
95,0.019,0,2022-03-14 15:58:37
96,0.013,0,2022-03-14 15:58:38
97,0.013,0,2022-03-14 15:58:39
98,0.019,0,2022-03-14 15:58:40
99,0.016,0,2022-03-14 15:58:41
100,0.019,0,2022-03-14 15:58:42
101,0.016,0,2022-03-14 15:58:43
102,0.019,0,2022-03-14 15:58:44
103,0.016,0,2022-03-14 15:58:46
104,0.016,0,2022-03-14 15:58:47
105,0.023,0,2022-03-14 15:58:47
106,0.019,0,2022-03-14 15:58:49
107,0.016,0,2022-03-14 15:58:50
108,0.019,0,2022-03-14 15:58:50
109,0.023,0,2022-03-14 15:58:52
110,0.016,0,2022-03-14 15:58:53
111,0.023,0,2022-03-14 15:58:54
112,0.023,0,2022-03-14 15:58:55
